,essay,token,lemma,sentence,index,start,pos,sentiment,paragraph,docPosition,sentPosition,isPunc,followsPunc,precedesPunc,followsLCA,precedesLCA,followsLCAPath,precedesLCAPath,head,uppermost,uppermost_child,right_sibling,right_sibling_head,probability,IOB
0,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,It,it,0,1,55,PRP,Neutral,0,Introduction,First,False,False,False,S,,0.16666666666666666,-1.0,said-4,NP,PRP,PRP,said,0.5,O
1,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,is,be,0,2,58,VBZ,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.25,0.16666666666666666,said-4,VBZ,is,is,said,0.013305312577301626,O
2,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,always,always,0,3,61,RB,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.25,0.25,said-4,ADVP,RB,RB,promote,0.013305312577301626,O
3,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,said,say,0,4,68,VBN,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3333333333333333,0.25,said-4,ROOT,S,S,said,0.013305312577301626,O
4,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,that,that,0,5,73,IN,Neutral,0,Introduction,Middle,False,False,False,SBAR,VP,0.4166666666666667,0.3333333333333333,promote-9,IN,that,that,promote,0.013305312577301626,O
5,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,competition,competition,0,6,78,NN,Neutral,0,Introduction,Middle,False,False,False,S,SBAR,0.5,0.4166666666666667,promote-9,NP,NN,NN,development,0.013305312577301626,O
6,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,can,can,0,7,90,MD,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.5833333333333334,0.5,promote-9,MD,can,can,promote,0.013305312577301626,O
7,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,effectively,effectively,0,8,94,RB,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.5833333333333334,0.5833333333333334,promote-9,ADVP,RB,RB,promote,0.013305312577301626,O
8,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,promote,promote,0,9,106,VB,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.6666666666666666,0.5833333333333334,said-4,SBAR,IN,S,said,0.013305312577301626,O
9,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,the,the,0,10,114,DT,Neutral,0,Introduction,Middle,False,False,False,NP,VP,0.8333333333333334,0.6666666666666666,development-11,DT,the,the,development,0.013305312577301626,O
10,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,development,development,0,11,118,NN,Neutral,0,Introduction,Middle,False,False,False,NP,NP,0.75,0.8333333333333334,promote-9,NP,NP,PP,development,0.013305312577301626,O
11,../data/ArgumentAnnotatedEssays-2.0 2/data/brat-project-final/essay001.txt,of,of,0,12,130,IN,Neutral,0,Introduction,Middle,False,False,False,PP,NP,0.8333333333333334,0.75,economy-13,IN,of,of,economy,0.013305312577301626,O
