,essay,token,lemma,sentence,index,start,pos,sentence_sentiment,token_sentiment,paragraph,docPosition,sentPosition,isPunc,followsPunc,precedesPunc,followsLCA,precedesLCA,followsLCAPath,precedesLCAPath,head,uppermost,uppermost_child,right_sibling,right_sibling_head,probability,head_lemma,IOB
0,3478.txt,Censorship,censorship,0,1,0,NN,Positive,Neutral,0,Introduction,First,False,False,False,S,,0.1818181818181818,-1.0,part-5,NP,NN,NN,things,0.5,part,O
1,3478.txt,is,be,0,2,11,VBZ,Positive,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.2727272727272727,0.1818181818181818,part-5,VBZ,is,is,part,0.0,part,O
2,3478.txt,a,a,0,3,14,DT,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,VP,0.4545454545454545,0.2727272727272727,part-5,DT,a,a,lot,0.001665625650635,part,O
3,3478.txt,big,big,0,4,16,JJ,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,NP,0.4545454545454545,0.4545454545454545,part-5,JJ,big,big,part,0.0,part,O
4,3478.txt,part,part,0,5,20,NN,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,NP,0.3636363636363636,0.4545454545454545,part-5,ROOT,S,S,part,0.0,part,O
5,3478.txt,of,of,0,6,25,IN,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,NP,0.3636363636363636,0.3636363636363636,lot-8,IN,of,of,things,0.0,lot,O
6,3478.txt,a,a,0,7,28,DT,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,NP,0.3636363636363636,0.3636363636363636,lot-8,NP,DT,NN,things,0.0004164064126587,lot,O
7,3478.txt,lot,lot,0,8,30,NN,Positive,Neutral,0,Introduction,Middle,False,False,False,PP,NP,0.4545454545454545,0.3636363636363636,part-5,PP,IN,NP,things,0.0,part,O
8,3478.txt,of,of,0,9,34,IN,Positive,Neutral,0,Introduction,Middle,False,False,False,PP,PP,0.4545454545454545,0.4545454545454545,things-10,IN,of,of,things,0.0,thing,O
9,3478.txt,things,thing,0,10,37,NNS,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,PP,0.7272727272727273,0.4545454545454545,lot-8,PP,IN,NP,things,0.0004164064126587,lot,O
10,3478.txt,at,at,0,11,44,IN,Positive,Neutral,0,Introduction,Middle,False,False,False,PP,NP,0.8181818181818182,0.7272727272727273,library-13,IN,at,at,library,0.0,library,O
11,3478.txt,the,the,0,12,47,DT,Positive,Neutral,0,Introduction,Middle,False,False,False,NP,PP,0.9090909090909092,0.8181818181818182,library-13,DT,the,the,library,0.0,library,O
12,3478.txt,library,library,0,13,51,NN,Positive,Neutral,0,Introduction,Middle,False,False,True,S,NP,0.1818181818181818,0.9090909090909092,things-10,PP,IN,NP,things,0.0012492192379762,thing,O
13,3478.txt,.,.,0,14,58,.,Positive,Neutral,0,Introduction,Last,True,False,False,,S,-1.0,0.1818181818181818,part-5,.,.,.,part,0.0,part,O
14,3478.txt,There,there,1,1,60,EX,Negative,Neutral,0,Introduction,First,False,True,False,S,,0.1428571428571428,-1.0,are-2,NP,EX,EX,are,0.3485321673953779,be,O
15,3478.txt,are,be,1,2,66,VBP,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.2142857142857142,0.1428571428571428,are-2,ROOT,S,S,are,0.0002082032063293,be,O
16,3478.txt,books,book,1,3,70,NNS,Negative,Neutral,0,Introduction,Middle,False,False,True,NP,VP,0.2857142857142857,0.2142857142857142,are-2,NP,NNS,NNS,books,0.001665625650635,be,O
17,3478.txt,",",",",1,4,75,",",Negative,Neutral,0,Introduction,Middle,True,False,False,NP,NP,0.2857142857142857,0.2857142857142857,books-3,",",",",",",books,0.0,book,O
18,3478.txt,movies,movie,1,5,77,NNS,Negative,Neutral,0,Introduction,Middle,False,True,True,NP,NP,0.2857142857142857,0.2857142857142857,books-3,movies,,,,0.4112013325005205,book,O
19,3478.txt,",",",",1,6,83,",",Negative,Neutral,0,Introduction,Middle,True,False,False,NP,NP,0.2857142857142857,0.2857142857142857,books-3,",",",",",",books,0.0,book,O
20,3478.txt,magazines,magazine,1,7,85,NNS,Negative,Neutral,0,Introduction,Middle,False,True,True,NP,NP,0.2857142857142857,0.2857142857142857,books-3,magazines,,,,0.4112013325005205,book,O
21,3478.txt,",",",",1,8,94,",",Negative,Neutral,0,Introduction,Middle,True,False,False,NP,NP,0.2857142857142857,0.2857142857142857,books-3,",",",",",",books,0.0,book,O
22,3478.txt,and,and,1,9,96,CC,Negative,Neutral,0,Introduction,Middle,False,True,False,NP,NP,0.2857142857142857,0.2857142857142857,computers-10,CC,and,and,computers,0.4112013325005205,computer,O
23,3478.txt,computers,computer,1,10,100,NNS,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,NP,0.2142857142857142,0.2857142857142857,books-3,computers,,,,0.0029148448886112,book,O
24,3478.txt,that,that,1,11,110,IN,Negative,Neutral,0,Introduction,Middle,False,False,False,SBAR,VP,0.2857142857142857,0.2142857142857142,do-19,IN,that,that,want,0.0,do,O
25,3478.txt,anyone,anyone,1,12,115,NN,Negative,Neutral,0,Introduction,Middle,False,False,False,SBAR,SBAR,0.2857142857142857,0.2857142857142857,do-19,NP,NP,SBAR,do,0.0997293358317718,do,O
26,3478.txt,that,that,1,13,122,WDT,Negative,Neutral,0,Introduction,Middle,False,False,False,SBAR,SBAR,0.2857142857142857,0.2857142857142857,want-14,IN,that,that,want,0.0,want,O
27,3478.txt,want,want,1,14,127,VBP,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,SBAR,0.6428571428571429,0.2857142857142857,anyone-12,SBAR,WHNP,S,are,0.0997293358317718,anyone,O
28,3478.txt,to,to,1,15,132,TO,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.7857142857142857,0.6428571428571429,get-16,TO,to,to,get,0.0,get,O
29,3478.txt,get,get,1,16,135,VB,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.8571428571428571,0.7857142857142857,want-14,S,VP,VP,do,0.0004164064126587,want,O
30,3478.txt,on,on,1,17,139,RP,Negative,Neutral,0,Introduction,Middle,False,False,False,S,VP,0.3571428571428571,0.8571428571428571,get-16,PRT,RP,RP,get,0.0,get,O
31,3478.txt,can,can,1,18,142,MD,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,S,0.4285714285714285,0.3571428571428571,do-19,MD,can,can,do,0.0,do,O
32,3478.txt,do,do,1,19,146,VB,Negative,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.5,0.4285714285714285,are-2,SBAR,IN,S,are,0.0,be,O
33,3478.txt,so,so,1,20,149,RB,Negative,Neutral,0,Introduction,Middle,False,False,True,S,VP,0.1428571428571428,0.5,do-19,ADVP,RB,RB,do,0.0002082032063293,do,O
34,3478.txt,.,.,1,21,151,.,Negative,Neutral,0,Introduction,Last,True,False,False,,S,-1.0,0.1428571428571428,are-2,.,.,.,are,0.0097855506974807,be,O
35,3478.txt,Kids,kid,2,1,153,NNS,Neutral,Positive,0,Introduction,First,False,True,False,S,,0.1538461538461538,-1.0,love-2,NP,NNS,NNS,hang,0.3485321673953779,love,O
36,3478.txt,love,love,2,2,158,VBP,Neutral,Very positive,0,Introduction,Middle,False,False,False,VP,S,0.2307692307692307,0.1538461538461538,love-2,ROOT,S,S,love,0.0,love,O
37,3478.txt,to,to,2,3,163,TO,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3846153846153846,0.2307692307692307,go-4,TO,to,to,get,0.0,go,O
38,3478.txt,go,go,2,4,166,VB,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3846153846153846,0.3846153846153846,love-2,S,VP,VP,hang,0.0004164064126587,love,O
39,3478.txt,to,to,2,5,169,IN,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3846153846153846,0.3846153846153846,library-7,TO,to,to,get,0.0,library,O
40,3478.txt,the,the,2,6,172,DT,Neutral,Neutral,0,Introduction,Middle,False,False,False,NP,VP,0.6153846153846154,0.3846153846153846,library-7,DT,the,the,library,0.0004164064126587,library,O
41,3478.txt,library,library,2,7,176,NN,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,NP,0.3846153846153846,0.6153846153846154,go-4,PP,IN,NP,hang,0.0012492192379762,go,O
42,3478.txt,to,to,2,8,184,TO,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.3846153846153846,0.3846153846153846,get-9,TO,to,to,get,0.0,get,O
43,3478.txt,get,get,2,9,187,VB,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.7692307692307693,0.3846153846153846,go-4,S,VP,VP,hang,0.0004164064126587,go,O
44,3478.txt,books,book,2,10,191,NNS,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.6923076923076923,0.7692307692307693,get-9,NP,NNS,NNS,hang,0.0,get,O
45,3478.txt,and,and,2,11,197,CC,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.6923076923076923,0.6923076923076923,hang-13,CC,and,and,hang,0.0,hang,O
46,3478.txt,just,just,2,12,201,RB,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.6923076923076923,0.6923076923076923,hang-13,ADVP,RB,RB,hang,0.0029148448886112,hang,O
47,3478.txt,hang,hang,2,13,206,VB,Neutral,Neutral,0,Introduction,Middle,False,False,False,VP,VP,0.7692307692307693,0.6923076923076923,get-9,hang,,,,0.0,get,O
