token,sentence,index,lemma,pos,sentiment,start,paragraph,docPosition,sentPosition,IOB,isPunc,followsPunc,precedesPunc
It,0,1,it,PRP,Neutral,55,0,Introduction,First,O,False,False,False
is,0,2,be,VBZ,Neutral,58,0,Introduction,Middle,O,False,False,False
always,0,3,always,RB,Neutral,61,0,Introduction,Middle,O,False,False,False
said,0,4,say,VBN,Neutral,68,0,Introduction,Middle,O,False,False,False
that,0,5,that,IN,Neutral,73,0,Introduction,Middle,O,False,False,False
competition,0,6,competition,NN,Neutral,78,0,Introduction,Middle,O,False,False,False
can,0,7,can,MD,Neutral,90,0,Introduction,Middle,O,False,False,False
effectively,0,8,effectively,RB,Neutral,94,0,Introduction,Middle,O,False,False,False
promote,0,9,promote,VB,Neutral,106,0,Introduction,Middle,O,False,False,False
the,0,10,the,DT,Neutral,114,0,Introduction,Middle,O,False,False,False
development,0,11,development,NN,Neutral,118,0,Introduction,Middle,O,False,False,False
of,0,12,of,IN,Neutral,130,0,Introduction,Middle,O,False,False,False
economy,0,13,economy,NN,Neutral,133,0,Introduction,Middle,O,False,False,True
.,0,14,.,.,,141,0,Introduction,Last,O,True,False,False
In,1,1,in,IN,Neutral,142,0,Introduction,First,O,False,True,False
order,1,2,order,NN,Neutral,145,0,Introduction,Middle,O,False,False,False
to,1,3,to,TO,Neutral,151,0,Introduction,Middle,O,False,False,False
survive,1,4,survive,VB,Neutral,154,0,Introduction,Middle,O,False,False,False
in,1,5,in,IN,Neutral,162,0,Introduction,Middle,O,False,False,False
the,1,6,the,DT,Neutral,165,0,Introduction,Middle,O,False,False,False
competition,1,7,competition,NN,Neutral,169,0,Introduction,Middle,O,False,False,True
",",1,8,",",",",,181,0,Introduction,Middle,O,True,False,False
companies,1,9,company,NNS,Neutral,182,0,Introduction,Middle,O,False,True,False
continue,1,10,continue,VBP,Neutral,192,0,Introduction,Middle,O,False,False,False
to,1,11,to,TO,Neutral,201,0,Introduction,Middle,O,False,False,False
improve,1,12,improve,VB,Neutral,204,0,Introduction,Middle,O,False,False,False
their,1,13,they,PRP$,Neutral,212,0,Introduction,Middle,O,False,False,False
products,1,14,product,NNS,Neutral,218,0,Introduction,Middle,O,False,False,False
and,1,15,and,CC,Neutral,227,0,Introduction,Middle,O,False,False,False
service,1,16,service,NN,Neutral,231,0,Introduction,Middle,O,False,False,True
",",1,17,",",",",,239,0,Introduction,Middle,O,True,False,False
and,1,18,and,CC,Neutral,240,0,Introduction,Middle,O,False,True,False
as,1,19,as,IN,Neutral,244,0,Introduction,Middle,O,False,False,False
a,1,20,a,DT,Neutral,247,0,Introduction,Middle,O,False,False,False
result,1,21,result,NN,Neutral,249,0,Introduction,Middle,O,False,False,True
",",1,22,",",",",,256,0,Introduction,Middle,O,True,False,False
the,1,23,the,DT,Neutral,257,0,Introduction,Middle,O,False,True,False
whole,1,24,whole,JJ,Neutral,261,0,Introduction,Middle,O,False,False,False
society,1,25,society,NN,Neutral,267,0,Introduction,Middle,O,False,False,False
